FR, -420, 1
FR, -390, 3
FR, -380, 1
FR, -370, 1
FR, -360, 3
FR, -350, 5
FR, -340, 2
FR, -330, 2
FR, -320, 3
FR, -310, 1
FR, -300, 5
FR, -290, 3
FR, -280, 2
FR, -270, 13
FR, -260, 3
FR, -250, 9
FR, -240, 6
FR, 250, 7
FR, 260, 14
FR, 270, 24
FR, 280, 22
FR, 290, 24
FR, 300, 20
FR, 310, 36
FR, 320, 38
FR, 330, 46
FR, 340, 55
FR, 350, 68
FR, 360, 71
FR, 370, 79
FR, 380, 69
FR, 390, 95
FR, 400, 114
FR, 410, 136
FR, 420, 148
FR, 430, 183
FR, 440, 189
FR, 450, 190
FR, 460, 241
FR, 470, 255
FR, 480, 250
FR, 490, 290
FR, 500, 340
FR, 510, 379
FR, 520, 388
FR, 530, 429
FR, 540, 462
FR, 550, 505
FR, 560, 523
FR, 570, 598
FR, 580, 665
FR, 590, 697
FR, 600, 658
FR, 610, 770
FR, 620, 783
FR, 630, 829
FR, 640, 910
FR, 650, 884
FR, 660, 969
FR, 670, 910
FR, 680, 1007
FR, 690, 948
FR, 700, 1021
FR, 710, 1045
FR, 720, 1079
FR, 730, 1046
FR, 740, 1037
FR, 750, 1054
FR, 760, 1017
FR, 770, 1088
FR, 780, 1066
FR, 790, 1100
FR, 800, 1011
FR, 810, 1022
FR, 820, 978
FR, 830, 912
FR, 840, 954
FR, 850, 879
FR, 860, 852
FR, 870, 823
FR, 880, 767
FR, 890, 762
FR, 900, 670
FR, 910, 642
FR, 920, 681
FR, 930, 602
FR, 940, 568
FR, 950, 493
FR, 960, 481
FR, 970, 445
FR, 980, 388
FR, 990, 356
FR, 1000, 337
FR, 1010, 352
FR, 1020, 273
FR, 1030, 238
FR, 1040, 232
FR, 1050, 195
FR, 1060, 203
FR, 1070, 168
FR, 1080, 123
FR, 1090, 135
FR, 1100, 118
FR, 1110, 81
FR, 1120, 89
FR, 1130, 84
FR, 1140, 69
FR, 1150, 54
FR, 1160, 38
FR, 1170, 47
FR, 1180, 36
FR, 1190, 38
FR, 1200, 25
FR, 1210, 22
FR, 1220, 23
FR, 1230, 18
FR, 1240, 12
FR, 1250, 11
FR, 1260, 7
FR, 1270, 6
FR, 1280, 5
FR, 1290, 4
FR, 1300, 1
FR, 1320, 1
FR, 1330, 1
FR, 1340, 3
FR, 1350, 3
FR, 1360, 1
FR, 1390, 1
FR, 1400, 1
FR, 1440, 1
